Отметка времени,What is your age group?,What is your role?,At what age did you start using a smartphone?  ,How would you describe your social media usage?  ,I feel that the content recommended to me influences my opinions or choices.  ,I often check social media without a specific reason.  ,I feel uneasy when I cannot access social media for a while.  ,I notice that my beliefs on social issues are influenced by posts I see frequently.  ,Sometimes I accept information on social media without checking other sources.  ,"I pay more attention to content that evokes strong emotions, even if it’s not informative.  ","I notice differences in the content, tone, or style of posts written in different languages (Kazakh, Russian, English) on social media.  ","I often check social media immediately after receiving a notification, even if I’m busy.  ",I find it difficult to focus on long posts or articles after spending time on social media.  ,I feel that the language of available content online affects what I watch or read.  ,Which types of content do you engage with most on social media?  ,"When you see a post you strongly disagree with, what do you usually do?  ","Have you noticed any changes in the language, topics, or tone of content you consume over the past few years? If so, what changes?  ","Do you feel that social media has influenced your attention span, memory, or way of processing information?  "
15.03.2026 9:15:23,18-40,Student,10-12,Very active user,3,4,4,3,3,3,5,3,5,5,"News / politics, Entertainment, Education","Ignore it, Discuss offline","More offen i can see about war, poverty, injustice, gender inequality, environmental problems and poor ways to solve this problem. Tone of my content from art go to depressed things. ","Yes, because now i think that I have access to any information and consume it not properly "
15.03.2026 9:21:50,18-40,Student,Before 10,Very active user,3,3,3,4,3,4,3,3,4,4,"News / politics, Entertainment, Education",Ignore it,"yes, there are too much content about politics now","yes, i notices how i started to struggle to keep concentrate for more than maybe 20 min "
15.03.2026 9:47:56,18-40,Student,10-12,Occasional user,4,4,2,3,3,4,4,1,4,4,"Entertainment, Education",Ignore it,my recommendations now contain only things that I like or interested,I think now we want to get information as fast as possible 
15.03.2026 10:40:25,18-40,Student,13-15,Occasional user,1,2,4,2,4,3,5,3,4,2,Education,Comment to argue / debate,content become more dynamic,yes
15.03.2026 10:52:15,18-40,Student,Before 10,Very active user,5,5,2,3,4,3,3,4,4,4,"Entertainment, Education, Lifestyle, Technology / AI, Gaming",Ignore it,Not exactly ,Maybe
15.03.2026 11:00:29,18-40,Student,10-12,Very active user,5,5,5,5,4,3,4,4,4,4,"Education, Lifestyle, Technology / AI, Gaming","Comment to argue / debate, Discuss offline","Yes, significant shifts in language, topics, and tone have occurred, driven by social media, technology, and cultural evolution","social media significantly impacts cognitive function by shortening attention spans, impairing working memory, and promoting shallow, fragmented information processing."
15.03.2026 11:12:48,18-40,Student,10-12,Very active user,5,5,5,5,4,4,5,5,5,5,"News / politics, Entertainment, Gaming","Ignore it, Discuss offline","Yes, content I consume mostly changed to formal, it, news",certainly
15.03.2026 11:13:54,18-40,Student,10-12,Moderately active user,5,5,3,4,4,2,5,2,2,4,"News / politics, Entertainment, Education, Lifestyle, Technology / AI, Gaming","Ignore it, Discuss offline","At first there was a lot of manosphere and red pill content. Now after certain changes in my worldwiew and pieces of media that changed my view, there is a lot of content promoting anti capitalism, anti colonialism, feminism, and socialism",yep.
15.03.2026 11:20:04,18-40,Student,Before 10,Occasional user,3,2,2,3,2,2,4,1,1,4,"Entertainment, Education",Ignore it," Yes, topics became more political","Maybe, but not too much"
15.03.2026 11:28:46,18-40,Student,10-12,Very active user,4,5,4,5,3,3,4,5,5,5,"News / politics, Entertainment, Education, Lifestyle, Technology / AI, Gaming",Discuss offline,Speech,"Yes , my memory has decreased "
